use#v#1161188,использовать
charge#v#1124145,обвинить,заряжать,атаковать,зарядить
history#n#15146348,история
response#n#11437102,
parallel#a#1722394,параллельный
much#r#59624,лес,многий,очень,много,многое,до хуя,гораздо
fix#n#324088,
steel#n#14826620,сталь
birth#n#15167127,рождение
pleasure#n#7505853,удовольствие
gather#v#1383303,
hint#v#929401,
competition#n#13859208,соревнование
memory#n#5943778,память
Argentina#n#8729807,Аргентина
fact#n#5825522,факт
mount#v#1345886,разводить,развести
time_interval#n#15294470,время
display#n#6892571,дисплей
craniometric_point#n#5237933,
song#n#7062058,ru:romancy
dye#n#15009942,красители
market#n#1099197,рынок
fat#n#14888511,
blood_vessel#n#5425319,кровеносные сосуды
failure#n#67456,неудача
cotton#n#14894229,хлопок
punishment#n#1162829,наказание
husband#n#10213586,муж
assume#v#525762,вступать
architect#n#9824898,архитектор
sect#n#8166788,секта
technique#n#5672990,техника
female#a#1481113,женский
seaport#n#8656633,порт
walk#v#1908923,походить,гулять,пройти
recommend#v#876672,
dress#n#3241438,платье
Virginia#n#9171719,Виргиния
trunk#n#13186713,транк
post#n#8641960,post
panicle#n#13153415,метёлка
restrict#v#2514936,
stopping_point#n#15292365,
article#n#6278749,статья
repeat#n#7356649,
try#v#2535833,
practice#v#2574587,
govern#v#2592711,править,владеть
bill#n#6528946,билль
military_officer#n#10336665,офицер
necessitate#v#2634015,
admit#v#2508185,соглашаться,согласиться,пропустить,признать,признавать,пропускать
close#v#1347791,
distribution#n#5736981,дистрибуция
old#a#1648062,старый,старинный,давний
male#n#1323721,самец
resort#n#8658106,
status#n#13968971,статус
die#v#359085,кость,пропасть,умереть,помереть
continue#v#783045,
radiation#n#11519684,излучение
sentence#n#6295743,
message#n#6263820,сообщение
shoulder#n#5556473,плечевой сустав
combination#n#7980325,сочетание
pope#n#10473089,папство
experience#v#2114674,
serf#n#10599987,крепостное право
advantage#n#5163204,
specialist#n#10651303,специалист
novel#n#6379324,роман
population#n#8196797,население
stroke#n#566339,инсульт
suffer#v#65410,страдать
opposition#n#10399319,оппозиция
composition#n#5083641,композиция
shore#n#9456346,берег
breast#n#5560921,женская грудь
ride#v#1961388,
Iran#n#8930441,Иран
block#n#8659720,
communicate#v#742582,
right_angle#n#13914930,прямой угол
bread#n#7695101,хлеб
be#v#2622439,представлять,оказываться,существовать,представить
expansion#n#366535,экспансия
rodent#n#2332053,грызуны
deck#n#3172332,
burrow#v#2045912,
target#n#7276776,мишень
spinal_column#n#5595824,позвоночник
furniture#n#3410635,мебель
crystal#n#14907357,кристаллы
throat#n#5555141,горло
attract#v#1811849,притягивать
crawl#n#295712,
touch#v#1208838,доставать,достать,растрогать
lodge#v#1530857,нанять
peninsula#n#9411741,полуостров
entrance#n#3295682,
vegetable#n#7723196,овощи
one-half#n#13758939,
Siberia#n#9028082,Сибирь
ordinal_number#n#13618523,порядковое число
sand#n#15043597,песок
chromosome#n#5449707,хромосома
institution#n#8070328,социальный институт
relative#a#6050,относительный
arch#n#13908826,арка
shade#n#4966407,
baby#n#9846929,младенец
turn#n#350856,вираж
intestine#n#5541966,пищеварительная система человека
construction#n#912746,строительство
exercise#n#625978,физические упражнения
disk#n#13897824,диск
roof#n#4112532,крыша
London#n#8893849,Лондон
transcript#n#6517508,
putt#n#573875,
appropriate#v#2277394,
consumption#n#839759,
variable#n#9492089,переменная
pouch#n#13937488,
design#n#5736623,дизайн
whole#n#5878206,
tax#n#13330021,налог
exhibit#v#2637937,
ion#n#9338065,ион
olfactory_property#n#4987257,
evergreen#n#13120592,вечнозелёные растения
pipe#n#3951443,pipe
impression#n#5925333,
compartment#n#3084313,
dinosaur#n#1702472,динозавры
marriage#n#13987306,брачный союз
acerate_leaf#n#13178493,
narrative#n#7235754,нарратив
rhizome#n#13149341,корневище
cylinder#n#13887919,цилиндр
behave#v#2523827,поступать,поступить
spot#n#13783547,
apparel#n#2731365,одежда
girl#n#10149362,девочка
component#n#3085025,компонента
possible#a#1826770,возможный
dimension#n#5100843,размерность пространства
give#v#734247,доставить,доставить,дарить,передавать,передать,подарить,доставлять,доставлять
sing#v#1733312,
Oregon#n#9155698,Орегон
reason#n#6752739,разум
protection#n#819341,защита
sign#n#6659006,знак
terrestrial#a#125790,теллурический,земной
roll_up#v#2309962,
cheese#n#7866305,сыр
spouse#n#10660018,
retire#v#2385151,
trouble#n#625102,trouble
blanket#n#2852392,одеяло
enzyme#n#14757125,ферменты
cake#n#2940853,пирожное
sky#n#9459612,небо
equate#v#2639615,
baseball#n#472688,бейсбол
county#n#8563758,графство
capture#v#1690521,
sweet#a#2376904,сладкий,пресный,сладкозвучный,милый
pulp#n#9423701,пульпа
debar#v#2458770,
liver#n#5392877,печень
training#n#895653,тренинг
rich#a#2029118,богатый,густой,обильный,жирный
goddess#n#9558733,богиня
Chile#n#8738314,Чили
phase#n#15315573,фаза
symbol#n#6819327,символ
enemy#n#8207412,
regular#a#1966104,правильный,очередной
forte#a#1461579,
precede#v#2698528,
feather#n#343391,перо
lung#n#5394887,лёгкие
symptom#n#14323139,симптом
ice#n#14939335,лёд
key#n#3618503,
supplant#v#2410532,
manage#v#2441196,владеть,обращаться
medium#n#6264799,
bottle#n#2879899,бутылка
fold#n#13930429,
traverse#v#1916152,
Indonesia#n#8927379,Индонезия
New_Mexico#n#9137349,Нью-Мексико
motor_vehicle#n#3796768,механическое транспортное средство
addition#n#2682269,сложение
knot#n#3632523,узел
engine#n#3292644,двигатель
body_part#n#5227735,
vertical#a#1236220,
photograph#n#3931348,
cooking#n#244785,кулинария
square#n#13901273,квадрат
fuel#n#14899228,топливо
segment#n#9452291,
ting#v#2140484,
mistake#n#71785,
regulate#v#2517217,упорядочивать,упорядочить
tropic#n#8692883,
association#n#8066153,ассоциация
hazard#n#14565454,опасность
furnish#v#2341479,доставить,поставить,доставлять
nerve#n#5481998,нерв
science#n#6008975,наука
tell#v#954556,объявлять,сообщать,объявить
follow_through#v#486949,
frog#n#1642406,бесхвостые
need#n#9390888,потребность
resist#v#1119003,
ocean#n#9399110,океан
late#r#307328,поздно,поздно,поздний
date#n#10012076,
extension#n#15297368,расширение
advocate#n#9794206,
steer#v#1935739,править
get_down#v#346415,
hang#v#1484705,висеть,вешать,вешать
extract#v#1353852,настаивать,добывать
mushroom#n#13021801,гриб
wool#n#4606562,шерсть (материал)
metamorphosis#n#13536083,метаморфоз
emotional#a#2995009,эмоциональный
liquid#a#2269142,плавный,прозрачный,жидкий
appoint#v#2481345,
residence#n#8576500,место жительства
procedure#n#1025762,
true#a#2469730,настоящий,верный,верный,справедливый,подлинный,правдивый,неизменный,истинный
